Site,Distance from estuary mouth,Depth from (m),Depth to (m),AVERAGE depth,AVS (%S),CRS (%S),Net Acidity (mol H+/t),Organic C (%),Total N (%),ALUMINIUM (mg/kg),ARSENIC (mg/kg),CHROMIUM (mg/kg),COPPER (mg/kg),IRON (mg/kg),MANGANESE (mg/kg),NICKEL (mg/kg),ZINC (mg/kg),BORON (mg/kg),COBALT (mg/kg),BARIUM (mg/kg),CALCIUM (mg/kg),MAGNESIUM (mg/kg),POTASSIUM (mg/kg),SODIUM (mg/kg),CHLORIDE (mg/kg),SULFUR (mg/kg)
MSC14,14,0.6,0.83,0.715,0.02,0.03,33.57,0.497,<0.02,1.494,0.004,0.007,0.026,2.088,0.178,0.013,0.077,0.075,0.007,0.024,11.328,16.66,10.178,119.405,200.247,29.12
MSC15,15,0,0.1,0.05,0,0,423.45,18.9,0.896,66.888,0.007,0.034,0.009,77.433,2.416,0.192,0.55,0.723,0.166,0.214,255.727,311.266,55.029,1749.945,2354.353,775.24
MSC15,15,0.1,0.55,0.325,0,0,213.45,29.5,1.1,220.505,0.015,0.026,0.004,922.928,15.842,1.792,3.244,3.357,1.443,0.31,2178.679,1325.665,73.086,2701.911,3514.713,4859.05
MSC15,15,0.55,1,0.775,0,0.01,162.1,19,0.733,36.079,0.007,0.01,0.003,161.718,8.011,0.376,0.782,1.701,0.36,0.365,811.531,682.373,49.068,1481.871,1914.821,1844.213
MSC15,15,1,1.1,1.05,0,0.02,169.18,15.6,0.546,27.958,0.006,0.012,0.003,119.962,6.711,0.19,0.421,1.7,0.213,0.54,623.691,606.292,42.798,1146.458,1400.374,1592.071
MSC16,16,0,0.15,0.075,0,0,122.66,5.17,0.2,6.836,0.004,0.014,0.009,4.092,0.78,0.03,0.121,0.588,0.011,0.052,99.624,104.724,30.415,650.814,936.426,216.604
MSC16,16,0.15,0.35,0.25,0,0,91.56,1.635,0.0655,4.628,0.002,0.009,0.012,4.46,0.266,0.021,0.103,0.546,0.007,0.029,66.181,71.846,19.626,375.206,563.776,159.16
MSC16,16,0.35,0.64,0.495,0,0,155.4,1.18,0.048,5.611,0.001,0.006,0.017,2.059,0.186,0.018,0.142,0.668,0.005,0.053,59.856,71.024,30.323,468.56,759.068,123.046
MSC17,17,0,0.46,0.23,0,0,52.98,1.47,0.037,10.481,0.005,0.029,0.01,23.352,0.568,0.093,0.202,0.158,0.05,0.173,60.24,43.199,12.911,207.769,307.505,158.495
MSC17,17,0.46,0.9,0.68,0,0,109.29,11.9,0.254,10.584,0.003,0.011,0.011,23.99,0.862,0.053,0.192,0.347,0.021,0.206,110.04,110.212,23.475,685.45,1021.012,255.663
MSC17,17,0.9,1.03,0.965,0,0,510.68,15.3,0.581,15.697,0.007,0.011,0.014,100.089,1.497,0.112,0.417,0.498,0.051,0.22,122.147,81.801,57.802,419.817,628.494,300.585
MSC18,18,0,0.2,0.1,0,0,395.72,27.9,0.938,28.132,0.016,0.041,0.048,100.624,1.532,0.111,0.639,0.718,0.03,0.159,105.24,116.235,87.626,657.515,1023.882,303.005
MSC18,18,0.2,0.45,0.325,0,0,322.04,37.8,1.08,49.001,0.021,0.036,0.056,178.903,2.864,0.199,0.944,0.635,0.046,0.186,230.105,265.86,86.869,1532.67,2505.438,603.939
MSC18,18,0.45,0.6,0.525,0,0,291.46,25.3,0.765,50.986,0.016,0.036,0.032,166.916,2.956,0.178,0.756,0.593,0.047,0.202,223.517,256.332,75.178,1475.997,2453.577,569.21
MSC19,19,0,0.45,0.225,0,0,416.09,30,0.885,92.778,0.018,0.013,0.037,43.241,1.716,0.229,0.825,0.852,0.064,0.169,223.156,223.208,81.214,1426.918,2252.359,513.325
MSC19,19,0.45,0.85,0.65,0,0,302.38,36.4,0.824,109.054,0.02,0.014,0.027,8.748,2.505,0.253,0.608,1.01,0.068,0.183,336.728,327.043,80.806,2108.982,3598.487,619.36
MSC19,19,0.85,1.2,1.025,0,0,363.57,32.2,0.917,121.96,0.024,0.015,0.022,36.421,2.402,0.324,1.114,1.006,0.12,0.252,267.52,256.96,92.96,1681.141,2816.985,557.264
MSC20,20,0,0.43,0.215,0,0,559.07,37.5,1.05,87.837,0.009,0.026,0.05,82.834,3.546,0.171,0.773,1.576,0.028,0.124,367.739,330.62,159.422,1878.409,3743.878,622.617
MSC20,20,0.43,0.75,0.59,0,0,125.6,15.2,0.372,21.947,0.003,0.012,0.014,23.432,1.631,0.079,0.235,0.708,0.011,0.044,245.837,183.245,49.185,1172.599,1906.396,369.635
